userId,date,category,emission
01df00f7-b65e-4ffe-b5ef-053308ce5945,2024-03-31,Books,122.0217
01df00f7-b65e-4ffe-b5ef-053308ce5945,2024-03-31,Entertainment,254.8119
01df00f7-b65e-4ffe-b5ef-053308ce5945,2024-03-31,Fuel,255.3492
01df00f7-b65e-4ffe-b5ef-053308ce5945,2024-03-31,Groceries,97.322904
01df00f7-b65e-4ffe-b5ef-053308ce5945,2024-03-31,Health,67.35329999999999
01df00f7-b65e-4ffe-b5ef-053308ce5945,2024-03-31,Public Transport,19.3484
01df00f7-b65e-4ffe-b5ef-053308ce5945,2024-03-31,Restaurant,1001.188944
01df00f7-b65e-4ffe-b5ef-053308ce5945,2024-04-30,Books,132.22554
01df00f7-b65e-4ffe-b5ef-053308ce5945,2024-04-30,Education,105.23519999999999
01df00f7-b65e-4ffe-b5ef-053308ce5945,2024-04-30,Entertainment,171.66324
01df00f7-b65e-4ffe-b5ef-053308ce5945,2024-04-30,Fuel,580.3024
01df00f7-b65e-4ffe-b5ef-053308ce5945,2024-04-30,Groceries,191.29887
01df00f7-b65e-4ffe-b5ef-053308ce5945,2024-04-30,Health,117.66528
01df00f7-b65e-4ffe-b5ef-053308ce5945,2024-04-30,Public Transport,34.1931
01df00f7-b65e-4ffe-b5ef-053308ce5945,2024-04-30,Restaurant,1367.8536060000001
01df00f7-b65e-4ffe-b5ef-053308ce5945,2024-05-31,Books,66.19500000000001
01df00f7-b65e-4ffe-b5ef-053308ce5945,2024-05-31,Education,11.413754999999998
01df00f7-b65e-4ffe-b5ef-053308ce5945,2024-05-31,Entertainment,36.59187
01df00f7-b65e-4ffe-b5ef-053308ce5945,2024-05-31,Fuel,517.6852
01df00f7-b65e-4ffe-b5ef-053308ce5945,2024-05-31,Groceries,176.29214399999998
01df00f7-b65e-4ffe-b5ef-053308ce5945,2024-05-31,Health,71.92071
01df00f7-b65e-4ffe-b5ef-053308ce5945,2024-05-31,Public Transport,35.764
01df00f7-b65e-4ffe-b5ef-053308ce5945,2024-05-31,Restaurant,1317.323448
0da05808-ead6-4ef5-8f8b-f10177226249,2024-03-31,Education,654.3315
0da05808-ead6-4ef5-8f8b-f10177226249,2024-03-31,Fuel,381.38280000000003
0da05808-ead6-4ef5-8f8b-f10177226249,2024-03-31,Groceries,121.717008
0da05808-ead6-4ef5-8f8b-f10177226249,2024-03-31,Health,27.33759
0da05808-ead6-4ef5-8f8b-f10177226249,2024-03-31,Public Transport,16.0366
0da05808-ead6-4ef5-8f8b-f10177226249,2024-03-31,Restaurant,749.341404
0da05808-ead6-4ef5-8f8b-f10177226249,2024-04-30,Books,106.75044
0da05808-ead6-4ef5-8f8b-f10177226249,2024-04-30,Entertainment,144.69430499999999
0da05808-ead6-4ef5-8f8b-f10177226249,2024-04-30,Fuel,473.6184
0da05808-ead6-4ef5-8f8b-f10177226249,2024-04-30,Groceries,230.162058
0da05808-ead6-4ef5-8f8b-f10177226249,2024-04-30,Health,90.0225
0da05808-ead6-4ef5-8f8b-f10177226249,2024-04-30,Public Transport,30.2054
0da05808-ead6-4ef5-8f8b-f10177226249,2024-04-30,Restaurant,1274.657076
0da05808-ead6-4ef5-8f8b-f10177226249,2024-05-31,Books,121.41024
0da05808-ead6-4ef5-8f8b-f10177226249,2024-05-31,Education,1002.8618999999999
0da05808-ead6-4ef5-8f8b-f10177226249,2024-05-31,Fuel,559.4956
0da05808-ead6-4ef5-8f8b-f10177226249,2024-05-31,Groceries,158.660082
0da05808-ead6-4ef5-8f8b-f10177226249,2024-05-31,Health,126.62711999999999
